id,destination,type,comment,createdAt
34,facebook.com,domain,,2025-09-18 21:02:55
157,twitter.com,domain,,2024-12-12 19:16:35
263,tumblr.com,domain,,2024-12-12 19:16:35
707,qq.com,domain,,2024-12-12 19:16:35
825,googleadservices.com,domain,,2024-12-12 19:16:35
827,googlesyndication.com,domain,,2024-12-12 19:16:35
837,intellitxt.com,domain,,2024-12-12 19:16:35
1065,zedo.com,domain,,2024-12-12 19:16:35
1264,tribalfusion.com,domain,,2024-12-12 19:16:35
1266,serving-sys.com,domain,,2024-12-12 19:16:35
1274,atdmt.com,domain,,2024-12-12 19:16:35
1281,fastclick.net,domain,,2024-12-12 19:16:35
1285,casalemedia.com,domain,,2024-12-12 19:16:35
1293,advertising.com,domain,,2024-12-12 19:16:35
1521,bing.com,domain,,2024-12-12 19:16:35
1528,yahoo.com,domain,,2024-12-12 19:16:35
1792,blogspot.com,domain,,2024-12-12 19:16:35
2048,tynt.com,domain,,2024-12-12 19:16:35
2704,ycombinator.com,domain,,2024-12-12 19:16:35
3453,quantserve.com,domain,,2024-12-12 19:16:35
5956,admob.com,domain,,2024-12-12 19:16:35
6684,addthis.com,domain,,2024-12-12 19:16:35
6821,turn.com,domain,,2024-12-12 19:16:35
6840,doubleclick.net,domain,,2024-12-12 19:16:35
6920,blogger.com,domain,,2024-12-12 19:16:35
7061,att.net,domain,,2024-12-12 19:16:35
9024,wordpress.com,domain,,2024-12-12 19:16:35
9628,flashtalking.com,domain,,2024-12-12 19:16:35
10714,mashable.com,domain,,2024-12-12 19:16:35
11817,adition.com,domain,,2024-12-12 19:16:35
11925,scorecardresearch.com,domain,,2024-12-12 19:16:35
11931,criteo.com,domain,,2024-12-12 19:16:35
12031,facebook.net,domain,,2025-09-18 21:02:55
12267,rr.com,domain,,2024-12-12 19:16:35
14122,adnxs.com,domain,,2024-12-12 19:16:35
14987,mediaplex.com,domain,,2024-12-12 19:16:35
15840,top.mail.ru,domain,,2024-12-12 19:16:35
16029,yadro.ru,domain,,2024-12-12 19:16:35
16191,2mdn.net,domain,,2024-12-12 19:16:35
22589,fbcdn.net,domain,,2025-05-05 21:04:29
22869,adadvisor.net,domain,,2024-12-12 19:16:35
23433,juicyads.com,domain,,2024-12-12 19:16:35
24730,mathtag.com,domain,,2024-12-12 19:16:35
24835,huffingtonpost.com,domain,,2024-12-12 19:16:35
25461,imrworldwide.com,domain,,2024-12-12 19:16:35
25627,mail.ru,domain,,2024-12-12 19:16:35
26579,stumbleupon.com,domain,,2024-12-12 19:16:35
27133,gizmodo.com,domain,,2024-12-12 19:16:35
27231,atwola.com,domain,,2024-12-12 19:16:35
28984,opera.com,domain,,2025-07-06 18:10:53
29277,sprintpcs.com,domain,,2024-12-12 19:16:35
29983,att.com,domain,,2024-12-12 19:16:35
30060,fb.com,domain,,2025-09-18 21:03:42
31142,adtechus.com,domain,,2024-12-12 19:16:35
31425,yandex.ru,domain,,2024-12-12 19:16:35
34957,tubemogul.com,domain,,2024-12-12 19:16:35
38914,doubleverify.com,domain,,2024-12-12 19:16:35
40617,getclicky.com,domain,,2024-12-12 19:16:35
42588,nexac.com,domain,,2024-12-12 19:16:35
43436,insightexpressai.com,domain,,2024-12-12 19:16:35
43575,linksynergy.com,domain,,2024-12-12 19:16:35
44119,smartadserver.com,domain,,2024-12-12 19:16:35
44508,contextweb.com,domain,,2024-12-12 19:16:35
44652,infolinks.com,domain,,2024-12-12 19:16:35
44800,exponential.com,domain,,2024-12-12 19:16:35
45235,jabber.org,domain,,2024-12-12 19:16:36
45272,adform.net,domain,,2024-12-12 19:16:36
45539,adroll.com,domain,,2024-12-12 19:16:36
45541,comscore.com,domain,,2024-12-12 19:16:36
45988,disqus.com,domain,,2024-12-12 19:16:36
45990,gravatar.com,domain,,2024-12-12 19:16:36
46374,blogblog.com,domain,,2024-12-12 19:16:36
46405,meta.com,domain,,2025-09-18 21:03:42
46446,fbcdn.com,domain,,2025-09-18 21:04:31
46761,html.it,domain,,2024-12-12 19:16:36
47660,wpad,domain,,2025-09-29 21:26:20
49795,technoratimedia.com,domain,,2024-12-12 19:16:36
50162,dotomi.com,domain,,2024-12-12 19:16:36
50709,scanscout.com,domain,,2024-12-12 19:16:36
51413,com.com,domain,,2025-05-01 05:29:59
51907,wsod.com,domain,,2024-12-12 19:16:36
56406,163.com,domain,,2024-12-12 19:16:36
57641,twimg.com,domain,,2024-12-12 19:16:36
57660,www.tqlkg.com,domain,,2024-12-12 19:16:36
59072,unrulymedia.com,domain,,2024-12-12 19:16:36
59182,wordpress.org,domain,,2024-12-12 19:16:36
61636,rubiconproject.com,domain,,2024-12-12 19:16:36
63001,lijit.com,domain,,2024-12-12 19:16:36
64602,nexage.com,domain,,2024-12-12 19:16:36
66627,rfihub.com,domain,,2024-12-12 19:16:36
83437,openx.net,domain,,2024-12-12 19:16:36
84746,undertone.com,domain,,2024-12-12 19:16:36
85385,liveinternet.ru,domain,,2024-12-12 19:16:36
86176,amung.us,domain,,2024-12-12 19:16:36
87721,desiringgod.org,domain,,2024-12-12 19:16:36
87930,facebookmail.com,domain,,2025-09-18 21:03:42
89157,trafficjunky.com,domain,,2025-09-16 17:01:17
89507,lduhtrp.net,domain,,2024-12-12 19:16:36
89901,bkrtx.com,domain,,2024-12-12 19:16:36
91415,yahooapis.com,domain,,2024-12-12 19:16:36
92481,dartsearch.net,domain,,2024-12-12 19:16:36
107985,spotxchange.com,domain,,2024-12-12 19:16:36
108669,vindicosuite.com,domain,,2024-12-12 19:16:36
120621,admarketplace.net,domain,,2024-12-12 19:16:36
131758,pubmatic.com,domain,,2024-12-12 19:16:36
133827,tqlkg.com,domain,,2024-12-12 19:16:37
133952,kinja.com,domain,,2024-12-12 19:16:37
134807,adap.tv,domain,,2024-12-12 19:16:37
143415,netvigator.com,domain,,2024-12-12 19:16:37
143429,mookie1.com,domain,,2024-12-12 19:16:37
177455,kick.com,domain,,2025-05-21 17:30:30
178808,media.net,domain,,2024-12-12 19:16:37
186977,voicefive.com,domain,,2024-12-12 19:16:37
189750,flurry.com,domain,,2024-12-12 19:16:37
191085,news.ycombinator.com,domain,,2024-12-12 19:16:37
193765,rkdms.com,domain,,2024-12-12 19:16:37
195433,outbrain.com,domain,,2024-12-12 19:16:37
196630,exoclick.com,domain,,2024-12-12 19:16:37
197775,33across.com,domain,,2024-12-12 19:16:37
202135,proxz.com,domain,,2024-12-12 19:16:37
206874,jumptap.com,domain,,2024-12-12 19:16:37
212729,fb.me,domain,,2025-09-18 21:05:24
224164,appspot.com,domain,,2024-12-12 19:16:37
226842,wonderwall.com,domain,,2024-12-12 19:16:37
228039,salemwebnetwork.com,domain,,2024-12-12 19:16:37
248431,pixel,domain,,2024-12-12 19:16:37
251289,googletagservices.com,domain,,2024-12-12 19:16:37
309238,yahoo.net,domain,,2024-12-12 19:16:37
356331,mikrotik.com,domain,,2024-12-12 19:16:37
399098,sitescout.com,domain,,2024-12-12 19:16:37
416276,everesttech.net,domain,,2024-12-12 19:16:37
418577,w55c.net,domain,,2024-12-12 19:16:37
450882,criteo.net,domain,,2024-12-12 19:16:37
453690,mixpanel.com,domain,,2024-12-12 19:16:37
461508,bitsontherun.com,domain,,2024-12-12 19:16:37
720116,barefruit.co.uk,domain,,2024-12-12 19:16:37
1027287,parklogic.com,domain,,2024-12-12 19:16:37
1476932,clicktale.net,domain,,2024-12-12 19:16:37
1957586,creative-serving.com,domain,,2024-12-12 19:16:37
2292879,cyberciti.biz,domain,,2024-12-12 19:16:37
2458663,zemanta.com,domain,,2024-12-12 19:16:37
2711862,adzerk.net,domain,,2024-12-12 19:16:37
2741034,yahoodns.net,domain,,2024-12-12 19:16:37
2937044,inmobi.com,domain,,2024-12-12 19:16:37
3031651,popads.net,domain,,2024-12-12 19:16:37
3180558,adserver.html.it,domain,,2024-12-12 19:16:37
3194975,krxd.net,domain,,2024-12-12 19:16:37
3213102,adswizz.com,domain,,2024-12-12 19:16:37
3218711,inq.com,domain,,2024-12-12 19:16:37
3228577,wp.com,domain,,2024-12-12 19:16:37
3259707,pictela.net,domain,,2024-12-12 19:16:37
3296573,simpli.fi,domain,,2024-12-12 19:16:37
3307286,carbonads.net,domain,,2024-12-12 19:16:37
3340437,skimresources.com,domain,,2024-12-12 19:16:37
3341369,dc-storm.com,domain,,2024-12-12 19:16:38
3347529,media-match.com,domain,,2024-12-12 19:16:38
3385307,smaato.net,domain,,2024-12-12 19:16:38
3396851,appnexus.com,domain,,2024-12-12 19:16:38
3408289,nakedsecurity.sophos.com,domain,,2024-12-12 19:16:38
3421415,whatsapp.com,domain,,2024-12-12 19:16:38
3429965,pinterest.com,domain,,2024-12-12 19:16:38
3467785,adnsx.com,domain,,2024-12-12 19:16:38
3490239,www.desiringgod.org,domain,,2024-12-12 19:16:38
3500445,tmodns.net,domain,,2024-12-12 19:16:38
3501967,adsafeprotected.com,domain,,2024-12-12 19:16:38
3563987,mopub.com,domain,,2024-12-12 19:16:38
3576951,scarabresearch.com,domain,,2024-12-12 19:16:38
3595857,matadornetwork.com,domain,,2024-12-12 19:16:38
3612579,fbsbx.com,domain,,2025-05-05 21:04:29
3613481,adsrvr.org,domain,,2024-12-12 19:16:38
3681597,theverge.com,domain,,2024-12-12 19:16:38
3718457,dwin1.com,domain,,2025-04-07 14:10:59
3747501,acuityplatform.com,domain,,2024-12-12 19:16:38
3749533,sekindo.com,domain,,2024-12-12 19:16:38
3758741,researchnow.com,domain,,2024-12-12 19:16:38
3808021,undeadly.org,domain,,2024-12-12 19:16:38
3840029,amazon-adsystem.com,domain,,2024-12-12 19:16:38
3867203,sharethrough.com,domain,,2024-12-12 19:16:38
3879663,postrelease.com,domain,,2024-12-12 19:16:38
3902407,stylecaster.com,domain,,2024-12-12 19:16:38
3911061,agkn.com,domain,,2024-12-12 19:16:38
4012847,innovid.com,domain,,2024-12-12 19:16:38
4053136,adgrx.com,domain,,2024-12-12 19:16:38
4073051,snapchat.com,domain,,2024-12-12 19:16:38
4100483,pinterest,domain,,2024-12-12 19:16:38
4105957,researchgate.net,domain,,2025-05-12 20:04:26
4126073,adsymptotic.com,domain,,2024-12-12 19:16:38
4126733,afconsult.com,domain,,2024-12-12 19:16:38
4174581,zergnet.com,domain,,2024-12-12 19:16:38
4226631,ads.flurry.com,domain,,2024-12-12 19:16:38
4235549,xiaomi.com,domain,,2024-12-12 19:16:38
4239827,brealtime.com,domain,,2024-12-12 19:16:38
4242769,taboola.com,domain,,2024-12-12 19:16:38
4253271,popads.com,domain,,2024-12-12 19:16:38
4331161,tapad.com,domain,,2024-12-12 19:16:38
4351391,servebom.com,domain,,2024-12-12 19:16:38
4383241,googletagmanager.com,domain,,2024-12-12 19:16:38
4389689,moatads.com,domain,,2024-12-12 19:16:38
4403041,smartclip.net,domain,,2024-12-12 19:16:38
4412747,vungle.com,domain,,2024-12-12 19:16:38
4428185,admixer.net,domain,,2024-12-12 19:16:38
4433845,glance.com,domain,,2025-03-27 18:36:42
4449727,bounceexchange.com,domain,,2024-12-12 19:16:38
4455275,admob,domain,,2024-12-12 19:16:38
4455997,brsrvr.com,domain,,2024-12-12 19:16:39
4495100,mycliplister.com,domain,,2024-12-12 19:16:39
4500892,qualaroo.com,domain,,2024-12-12 19:16:39
4507305,coub.com,domain,,2025-09-05 21:29:39
4515029,semasio.net,domain,,2024-12-12 19:16:39
4525135,extremereach.com,domain,,2025-05-12 20:05:01
4542947,ayads.co,domain,,2024-12-12 19:16:39
4547765,apxlv.com,domain,,2024-12-12 19:16:39
4547987,adentifi.com,domain,,2024-12-12 19:16:39
4551888,snapchat,domain,,2024-12-12 19:16:39
4559468,pinimg.com,domain,,2024-12-12 19:16:39
4593401,samplicio.us,domain,,2024-12-12 19:16:39
4605895,perfectmarket.com,domain,,2024-12-12 19:16:39
4613707,django.com,domain,,2024-12-12 19:16:39
4617051,stickyadstv.com,domain,,2024-12-12 19:16:39
4647316,doubleclick,domain,,2024-12-12 19:16:39
4746765,teads.tv,domain,,2024-12-12 19:16:39
4776699,netu.tv,domain,,2024-12-12 19:16:39
4828584,impdesk.com,domain,,2024-12-12 19:16:39
4834366,videohub.tv,domain,,2024-12-12 19:16:39
5302121,ttgtmedia.com,domain,,2024-12-12 19:16:39
5695879,tune.com,domain,,2024-12-12 19:16:39
6191115,qlik.com,domain,,2024-12-12 19:16:39
7336777,yieldmo.com,domain,,2024-12-12 19:16:39
7701223,petametrics.com,domain,,2024-12-12 19:16:39
9162365,adrta.com,domain,,2024-12-12 19:16:39
9417439,api.whatsapp.com,domain,,2024-12-12 19:16:39
9884833,kiosked.com,domain,,2024-12-12 19:16:39
10384937,apps.shopify.com,domain,,2025-06-24 22:26:17
10626059,sumome.com,domain,,2024-12-12 19:16:39
10802989,kargo.com,domain,,2024-12-12 19:16:39
10941049,adctrl.com,domain,,2024-12-12 19:16:39
10941673,gmtdmp.com,domain,,2024-12-12 19:16:39
11210885,yieldlab.net,domain,,2024-12-12 19:16:39
11288759,admobsphere.com,domain,,2024-12-12 19:16:39
11451529,company-target.com,domain,,2024-12-12 19:16:39
11468463,3lift.com,domain,,2024-12-12 19:16:39
11468539,ad-delivery.net,domain,,2024-12-12 19:16:39
11469129,brand-display.com,domain,,2024-12-12 19:16:39
11469261,clickagy.com,domain,,2024-12-12 19:16:39
11469291,cogocast.net,domain,,2024-12-12 19:16:39
11469983,ipredictive.com,domain,,2024-12-12 19:16:39
11616813,srv.carbonads.net,domain,,2024-12-12 19:16:39
11639833,adeventtracker.spotify.com,domain,,2024-12-12 19:16:39
11847673,7eer.net,domain,,2024-12-12 19:16:39
12266239,myvisualiq.net,domain,,2024-12-12 19:16:39
12296009,tctm.co,domain,,2024-12-12 19:16:39
12347897,adjust.com,domain,,2024-12-12 19:16:39
12639715,adk2x.com,domain,,2024-12-12 19:16:39
12814437,licasd.com,domain,,2024-12-12 19:16:39
12960325,traffective.com,domain,,2025-05-12 20:03:43
12960711,blismedia.com,domain,,2024-12-12 19:16:39
12961013,admantx.com,domain,,2024-12-12 19:16:39
12961083,bidtellect.com,domain,,2025-03-26 20:39:42
13702425,gvt1.com,domain,,2024-12-12 19:16:39
13868916,springserve.com,domain,,2024-12-12 19:16:40
13927266,narvar.com,domain,,2025-07-23 21:40:58
14127468,jsonip.com,domain,,2024-12-12 19:16:40
14541030,deployads.com,domain,,2024-12-12 19:16:40
14762166,sendtonews.com,domain,,2025-03-27 14:36:13
14955801,forter.com,domain,,2024-12-12 19:16:40
15117873,fqtag.com,domain,,2024-12-12 19:16:40
15206483,gstaticadssl.l.google.com,domain,,2024-12-12 19:16:40
15310721,gvt2.com,domain,,2024-12-12 19:16:40
15719413,socdm.com,domain,,2024-12-12 19:16:40
15840601,admedo.com,domain,,2024-12-12 19:16:40
16114557,rtk.io,domain,,2024-12-12 19:16:40
16134745,ispot.tv,domain,,2024-12-12 19:16:40
16494509,omaze.com,domain,,2024-12-12 19:16:40
16645783,avocet.io,domain,,2024-12-12 19:16:40
16773549,clickadu.com,domain,,2024-12-12 19:16:40
17170561,myfiosgateway.com,domain,,2024-12-12 19:16:40
17694007,ravenjs.com,domain,,2024-12-12 19:16:40
17768633,jampp.com,domain,,2024-12-12 19:16:40
18451419,keywee.co,domain,,2024-12-12 19:16:40
18485769,lkqd.net,domain,,2024-12-12 19:16:40
19005683,adtdp.com,domain,,2024-12-12 19:16:40
19005783,connatix.com,domain,,2025-03-26 20:16:11
19005829,ezoic.net,domain,,2024-12-12 19:16:40
19005915,marfeel.com,domain,,2025-03-26 20:28:29
19005977,permutive.com,domain,,2024-12-12 19:16:40
19006247,stackadapt.com,domain,,2024-12-12 19:16:40
19076439,ssacdn.com,domain,,2024-12-12 19:16:40
19158405,revjet.com,domain,,2024-12-12 19:16:40
19178315,pippio.com,domain,,2024-12-12 19:16:40
19194545,adsensecustomsearchads.com,domain,,2024-12-12 19:16:40
19210139,comscorenetworks.net,domain,,2024-12-12 19:16:40
19240521,mycomscore.net,domain,,2024-12-12 19:16:40
19670592,mantisadnetwork.com,domain,,2024-12-12 19:16:40
19710040,destination,domain,,2024-12-12 19:16:34
19871794,9mediaonline.com,domain,,2024-12-12 19:16:40
20357145,safebrowsing.googleapis.com,domain,,2024-12-12 19:16:40
20459855,adkernel.com,domain,,2024-12-12 19:16:40
20787327,1rx.io,domain,,2024-12-12 19:16:40
20852935,idio.co,domain,,2024-12-12 19:16:40
20853821,pixel.ad,domain,,2024-12-12 19:16:40
20854131,rokt.com,domain,,2024-12-12 19:16:40
20854827,trackedweb.net,domain,,2024-12-12 19:16:40
20855647,awsdns.com,domain,,2024-12-12 19:16:40
20857027,moatpixel.com,domain,,2024-12-12 19:16:40
20996191,adthrive.com,domain,,2024-12-12 19:16:40
21006869,voluum.com,domain,,2025-08-19 18:35:05
21496779,exads.com,domain,,2025-03-27 14:44:32
21658693,prebid.org,domain,,2025-09-16 22:49:21
21659955,cookielaw.org,domain,,2024-12-12 19:16:40
21660147,bidr.io,domain,,2024-12-12 19:16:40
21660175,iterable.com,domain,,2024-12-12 19:16:40
21706449,adglare.com,domain,,2025-05-01 05:28:42
22077481,no-reverse-dns-configured.com,domain,,2024-12-12 19:16:41
22598375,actionbutton.co,domain,,2024-12-12 19:16:41
22641987,fg8dgt.com,domain,,2024-12-12 19:16:41
22704355,udimg.com,domain,,2024-12-12 19:16:41
22866907,thewhizmarketing.com,domain,,2024-12-12 19:16:41
22901655,lrx.io,domain,,2024-12-12 19:16:41
22952645,ads-fa.spotify.com,domain,,2024-12-12 19:16:43
23108981,img.huffingtonpost.com,domain,,2024-12-12 19:16:43
23170645,mediavine.com,domain,,2024-12-12 19:16:43
23551337,trkn.us,domain,,2024-12-12 19:16:43
23698259,6sc.co,domain,,2024-12-12 19:16:43
24124915,ads-fa.cdn.spotify.com,domain,,2024-12-12 19:16:43
24168241,adotmob.com,domain,,2024-12-12 19:16:43
24201367,minute.ly,domain,,2025-05-22 21:46:19
24251673,media-lax1.inq.com,domain,,2024-12-12 19:16:43
24979549,smart.link,domain,,2024-12-12 19:16:43
25416893,nui.media,domain,,2024-12-12 19:16:43
25700357,teliasoneracdn.net,domain,,2024-12-12 19:16:43
25708473,bfmio.com,domain,,2024-12-12 19:16:43
25881149,ads-twitter.com,domain,,2024-12-12 19:16:43
25956973,iwanttodeliver.com,domain,,2024-12-12 19:16:43
26140866,freshrelevance.com,domain,,2024-12-12 19:16:43
26363922,pananames.com,domain,,2024-12-12 19:16:43
